id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Concrete Bars,Rhyme Theory,hip-hop,confident,0.76,92,0.55,0.82,0.09
12,Winter Nocturne,Clara Winters,classical,melancholic,0.26,66,0.24,0.18,0.96
13,Island Time,Palm and Bass,reggae,uplifting,0.60,96,0.86,0.83,0.32
14,Iron Verdict,Ashen Crown,metal,aggressive,0.97,172,0.25,0.42,0.03
15,Dust Roads Home,Willow Hart,folk,nostalgic,0.38,88,0.52,0.44,0.82
16,Velvet Hour,Sable Moon,r&b,romantic,0.48,74,0.68,0.70,0.28
17,Pulse Reactor,Voltage Kids,techno,euphoric,0.95,128,0.74,0.90,0.04
18,Open Sky Highway,Cedar Line,country,hopeful,0.55,104,0.72,0.58,0.55
19,Rainy Delta,Muddy Fret,blues,sad,0.44,82,0.30,0.50,0.68
20,Disco Fever Dream,Glitter Avenue,disco,playful,0.80,120,0.90,0.92,0.12
